IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP5;IP_PROP9;IP_PROP8;IP_PROP7;IP_PROP6;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3
10;Автосигнализация Pandora DXL 3970 PRO ver.2;10;Y;02.06.2020 16:50:14;;/upload/iblock/be8/be8a941b9880fbc5f6c693ad34def5c1.jpg;"Узнавание бренда изящно индуцирует институциональный пресс-клиппинг. Изменение глобальной стратегии, конечно, притягивает комплексный фактор коммуникации. Рейтинг, на первый взгляд, повсеместно поддерживает ролевой SWOT-анализ. Product placement традиционно стабилизирует метод изучения рынка. Рейт-карта экономит ролевой продукт.

Организация службы маркетинга актаульна как никогда. Восприятие марки, как следует из вышесказанного, сознательно трансформирует product placement. Изменение глобальной стратегии наиболее полно специфицирует коллективный сегмент рынка. Медийный канал оправдывает охват аудитории, размещаясь во всех медиа. Концепция новой стратегии притягивает креатив. Отраслевой стандарт индуцирует ребрендинг.
";text;/upload/iblock/a14/a14899b0da342a01ce43f435f45ff9f0.jpg;Принимая во внимание позицию Ф.Фукуямы, христианско-демократический национализм интегрирует коллапс Советского Союза. Правовое государство приводит субъект власти. В данной ситуации бихевиоризм вызывает культ личности, последнее особенно ярко выражено в ранних работах В.И.Ленина.;text;avtosignalizatsiya-pandora-dxl-3970-pro-ver-2;500;;123456789;;Комплект 1;Pandora;Черный;Защита от угона;;;
10;Автосигнализация Pandora DXL 3970 PRO ver.2;10;Y;02.06.2020 16:50:14;;/upload/iblock/be8/be8a941b9880fbc5f6c693ad34def5c1.jpg;"Узнавание бренда изящно индуцирует институциональный пресс-клиппинг. Изменение глобальной стратегии, конечно, притягивает комплексный фактор коммуникации. Рейтинг, на первый взгляд, повсеместно поддерживает ролевой SWOT-анализ. Product placement традиционно стабилизирует метод изучения рынка. Рейт-карта экономит ролевой продукт.

Организация службы маркетинга актаульна как никогда. Восприятие марки, как следует из вышесказанного, сознательно трансформирует product placement. Изменение глобальной стратегии наиболее полно специфицирует коллективный сегмент рынка. Медийный канал оправдывает охват аудитории, размещаясь во всех медиа. Концепция новой стратегии притягивает креатив. Отраслевой стандарт индуцирует ребрендинг.
";text;/upload/iblock/a14/a14899b0da342a01ce43f435f45ff9f0.jpg;Принимая во внимание позицию Ф.Фукуямы, христианско-демократический национализм интегрирует коллапс Советского Союза. Правовое государство приводит субъект власти. В данной ситуации бихевиоризм вызывает культ личности, последнее особенно ярко выражено в ранних работах В.И.Ленина.;text;avtosignalizatsiya-pandora-dxl-3970-pro-ver-2;500;;123456789;;Комплект 2;Pandora;Черный;Защита от угона;;;
13;Lada 99999-0000007-01Охранная система с двусторонней связью scher-khan magicar 7н с а/з;13;Y;02.06.2020 17:21:10;;/upload/iblock/352/3522d9f84c410042444bb1adb48f64ca.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;/upload/iblock/3ec/3ec59973b440363e94dc6c384198eb98.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;okhrannaya-sistema-s-dvustoronney-svyazyu-scher-khan-magicar-7n-s-a-z;500;;555666777;;Комплект 1;Lada;Черный;Защита от угона;Автосигнализация;;
13;Lada 99999-0000007-01Охранная система с двусторонней связью scher-khan magicar 7н с а/з;13;Y;02.06.2020 17:21:10;;/upload/iblock/352/3522d9f84c410042444bb1adb48f64ca.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;/upload/iblock/3ec/3ec59973b440363e94dc6c384198eb98.jpg;Классическая система охраны, обеспечивает уверенную связь на значительном расстоянии – до 2000 м. Высокая дальность связи и помехоустойчивость достигнуты благодаря применению радиоканала с FM-модуляцией и функции исправления ошибок. Многоуровневая защита от различных способов угона, включая интеллектуальный взлом с применением оборудования последнего поколения. Автоматический запуск двигателя с 3 зонами охраны. Датчик вызова водителя, активируемый снаружи автомобиля, – это альтернатива мобильному телефону для вызова водителя. И одновременно возможность поставить и снять охрану без брелока.;text;okhrannaya-sistema-s-dvustoronney-svyazyu-scher-khan-magicar-7n-s-a-z;500;;555666777;;Комплект 2;Lada;Черный;Защита от угона;Автосигнализация;;
91;Автосигнализация PanDECT X-1800L;91;Y;29.06.2020 13:14:02;;/upload/iblock/5f1/5f1c797d6e32b9280ddcb79f0cc85ea9.jpg;"Условия оплаты:<br>
<ul>
	<li>Наличный расчет;</li>
	<li>Безналичный расчет;</li>
	<li>Наложенный платеж;</li>
	<li>Терминал;</li>
	<li>Сбербанк онлайн;</li>
	<li>Постоплата (предоплата - только на товары под заказ).</li>
</ul>
 <br>
 Условия доставки:<br>
 <br>
<ul>
	<li>Доставка осуществляется по Ростову-на Дону в течении 1-2 рабочих дней после подтверждения заказа.</li>
	<li>Стоимость: от 300 руб.</li>
	<li>При покупке от 7000 руб. доставка БЕСПЛАТНАЯ.</li>
	<li>Адрес пункта самовывоза:&nbsp;ул. Зои Космодемьянской,&nbsp;30. С 10:00 до 18:00, без выходных.</li>
</ul>
 Условия возврата:<br>
<ul>
	<li>Стандартные, в течение 14 дней.</li>
	<li>Условия гарантии:</li>
	<li>На товар - до 5 лет, в зависимости от товара;</li>
	<li>На услугу по установке - до 3 лет в зависимости от установки.</li>
	<li></li>
</ul>
 <br>
<p>
</p>
 <br>";html;/upload/iblock/e6b/e6bcd39e192ee18a6f2f2fa8e2cef03e.jpg;"Чтобы сделать систему максимально доступной для тех, кто давно мечтал управлять автомобилем со смартфона из любой точки мира, в комплекте осталась одна Bluetooth-метка для авторизации владельца (напоминаем, что роль второй метки и полноценного брелока выполняет любой современный смартфон на Android или iOS) и новый модуль для автозапуска RMD-4M.<br>
 &nbsp;<br>
 &nbsp;Система поддерживает в полном объеме уникальную в нашем исполнении работу с мобильными приложениями, включая возможность управления системой как со смартфонов, так и с умных часов. При отсутствии мобильной сети или просто на близком расстоянии от автомобиля смартфон переходит в режим управления по Bluetooth. Именно наш фирменный защищенный Bluetooth-интерфейс заслуживает отдельного внимания – при желании к X-1800 L в любой момент можно добавить беспроводные аксессуары для увеличения функционала и противоугонных свойств. Например, GPS/ГЛОНАСС-приемник NAV-035BT превратит вашу микросистему в спутниковый GSM-комплекс, а радиореле BTR-101 спрячется в недрах автомобиля и не даст злоумышленнику даже завести двигатель. При этом никаких проводов в салон тянуть не нужно – все работает по воздуху!<br>
 &nbsp;<br>
 &nbsp;Разумеется, в такой серьезной системе присутствует бесключевой автозапуск всех популярных современных автомобилей. Специализированный порт IMMO-KEY дает возможность использовать все без исключения наши новые алгоритмы обхода штатных иммобилайзеров, включая требующие процедур сервиса Pandora CLONE. Это максимально безопасно, и что очень важно – сохраняет гарантию на ваш автомобиль!<br>
 &nbsp;<br>
 Базовый блок Pandect X-1800 L выполнен в миниатюрных размерах для максимально скрытной установки и потребляет рекордно минимальное количество энергии. Даже при долгих простоях аккумулятор автомобиля сможет запустить двигатель. Также в комплекте идет наша супер-пьезосирена Pandora PS-330 – она очень громкая, небольшая и удобная для установки. И, как все топовые продукты Pandora, максимально энергоэкономична.<br>";html;avtosignalizatsiya-pandect-x-1800l;500;;DECT X-1800L;/upload/iblock/96e/96e9be5713abe4133aef102d036a8011.jpg;;Pandora;;Защита от угона;Автосигнализация;;
91;Автосигнализация PanDECT X-1800L;91;Y;29.06.2020 13:14:02;;/upload/iblock/5f1/5f1c797d6e32b9280ddcb79f0cc85ea9.jpg;"Условия оплаты:<br>
<ul>
	<li>Наличный расчет;</li>
	<li>Безналичный расчет;</li>
	<li>Наложенный платеж;</li>
	<li>Терминал;</li>
	<li>Сбербанк онлайн;</li>
	<li>Постоплата (предоплата - только на товары под заказ).</li>
</ul>
 <br>
 Условия доставки:<br>
 <br>
<ul>
	<li>Доставка осуществляется по Ростову-на Дону в течении 1-2 рабочих дней после подтверждения заказа.</li>
	<li>Стоимость: от 300 руб.</li>
	<li>При покупке от 7000 руб. доставка БЕСПЛАТНАЯ.</li>
	<li>Адрес пункта самовывоза:&nbsp;ул. Зои Космодемьянской,&nbsp;30. С 10:00 до 18:00, без выходных.</li>
</ul>
 Условия возврата:<br>
<ul>
	<li>Стандартные, в течение 14 дней.</li>
	<li>Условия гарантии:</li>
	<li>На товар - до 5 лет, в зависимости от товара;</li>
	<li>На услугу по установке - до 3 лет в зависимости от установки.</li>
	<li></li>
</ul>
 <br>
<p>
</p>
 <br>";html;/upload/iblock/e6b/e6bcd39e192ee18a6f2f2fa8e2cef03e.jpg;"Чтобы сделать систему максимально доступной для тех, кто давно мечтал управлять автомобилем со смартфона из любой точки мира, в комплекте осталась одна Bluetooth-метка для авторизации владельца (напоминаем, что роль второй метки и полноценного брелока выполняет любой современный смартфон на Android или iOS) и новый модуль для автозапуска RMD-4M.<br>
 &nbsp;<br>
 &nbsp;Система поддерживает в полном объеме уникальную в нашем исполнении работу с мобильными приложениями, включая возможность управления системой как со смартфонов, так и с умных часов. При отсутствии мобильной сети или просто на близком расстоянии от автомобиля смартфон переходит в режим управления по Bluetooth. Именно наш фирменный защищенный Bluetooth-интерфейс заслуживает отдельного внимания – при желании к X-1800 L в любой момент можно добавить беспроводные аксессуары для увеличения функционала и противоугонных свойств. Например, GPS/ГЛОНАСС-приемник NAV-035BT превратит вашу микросистему в спутниковый GSM-комплекс, а радиореле BTR-101 спрячется в недрах автомобиля и не даст злоумышленнику даже завести двигатель. При этом никаких проводов в салон тянуть не нужно – все работает по воздуху!<br>
 &nbsp;<br>
 &nbsp;Разумеется, в такой серьезной системе присутствует бесключевой автозапуск всех популярных современных автомобилей. Специализированный порт IMMO-KEY дает возможность использовать все без исключения наши новые алгоритмы обхода штатных иммобилайзеров, включая требующие процедур сервиса Pandora CLONE. Это максимально безопасно, и что очень важно – сохраняет гарантию на ваш автомобиль!<br>
 &nbsp;<br>
 Базовый блок Pandect X-1800 L выполнен в миниатюрных размерах для максимально скрытной установки и потребляет рекордно минимальное количество энергии. Даже при долгих простоях аккумулятор автомобиля сможет запустить двигатель. Также в комплекте идет наша супер-пьезосирена Pandora PS-330 – она очень громкая, небольшая и удобная для установки. И, как все топовые продукты Pandora, максимально энергоэкономична.<br>";html;avtosignalizatsiya-pandect-x-1800l;500;;DECT X-1800L;/upload/iblock/098/0985843f79f44f40abb4177091714618.jpg;;Pandora;;Защита от угона;Автосигнализация;;
12;Модуль подъема стекол, на 2 стекла Mongoose CWM-2 ;12;Y;02.06.2020 17:17:16;;/upload/iblock/a13/a135489198b764530fb9680597a4f98a.jpg;Модуль Mongoose CWM-2 предназначен для совместной работы с автомобильной сигнализацией или другим устройством, имеющим выход, на котором появляется импульс отрицательной или положительной полярности, при изменении состояния системы (например, при постановке на охрану). Модуль обеспечивает автоматическое поочередное закрытие стекол или потолочного люка при наличии электрического привода последних.;text;/upload/iblock/4f6/4f6ef17c0b9d56a0b8fd52aeee9f02d9.jpg;;text;modul-podema-stekol-na-2-stekla-mongoose-cwm-2-;500;;7773377;;Комплект 2;Mongoose;Белый;Защита от угона;Комплектующие для сигнализаций;;
12;Модуль подъема стекол, на 2 стекла Mongoose CWM-2 ;12;Y;02.06.2020 17:17:16;;/upload/iblock/a13/a135489198b764530fb9680597a4f98a.jpg;Модуль Mongoose CWM-2 предназначен для совместной работы с автомобильной сигнализацией или другим устройством, имеющим выход, на котором появляется импульс отрицательной или положительной полярности, при изменении состояния системы (например, при постановке на охрану). Модуль обеспечивает автоматическое поочередное закрытие стекол или потолочного люка при наличии электрического привода последних.;text;/upload/iblock/4f6/4f6ef17c0b9d56a0b8fd52aeee9f02d9.jpg;;text;modul-podema-stekol-na-2-stekla-mongoose-cwm-2-;500;;7773377;;Комплект 3;Mongoose;Белый;Защита от угона;Комплектующие для сигнализаций;;
16;Mystery MAR-979UC Автомобильный mp3/wma ресивер;16;Y;02.06.2020 17:31:33;;/upload/iblock/6da/6da21f854733702b47941bb055b9099f.jpg;Mystery MAR-979UC Автомобильный mp3/wma ресивер магнитолище с большущщей буквы М;text;/upload/iblock/b72/b72406b203720261873361a63eb45e89.jpg;"- Изменяемая многоцветная
подсветка элементов управления
- Съемная передняя панель
- USB порт на передней панели
- Воспроизведение записей с SD/MMC карт
- AM / FM / УКВ радиоприемник
- Запоминание 30 станций (12 FM, 12 AM, 6 УКВ)
- Совместимость с форматом MP3
- Цифровой энкодер для регулировки громкости
- Повтор/Случайно
- Приглушение звука/тонкомпенсация
- Встроенный эквалайзер (Классика / Рок / Поп)
- Полнофункциональный карточный пульт ДУ
- 2 -канальный линейный выход RCA
- Выходная мощность 4 х 50 Вт
- Аудио вход на передней панели
- Разъем ISO типа";text;mystery-mar-979uc-avtomobilnyy-mp3-wma-resiver;500;;;/upload/iblock/4b8/4b8f08d46ffb44f1ce67c07edde30ac8.png;;Mystery;;Автозвук;Магнитолы;;
16;Mystery MAR-979UC Автомобильный mp3/wma ресивер;16;Y;02.06.2020 17:31:33;;/upload/iblock/6da/6da21f854733702b47941bb055b9099f.jpg;Mystery MAR-979UC Автомобильный mp3/wma ресивер магнитолище с большущщей буквы М;text;/upload/iblock/b72/b72406b203720261873361a63eb45e89.jpg;"- Изменяемая многоцветная
подсветка элементов управления
- Съемная передняя панель
- USB порт на передней панели
- Воспроизведение записей с SD/MMC карт
- AM / FM / УКВ радиоприемник
- Запоминание 30 станций (12 FM, 12 AM, 6 УКВ)
- Совместимость с форматом MP3
- Цифровой энкодер для регулировки громкости
- Повтор/Случайно
- Приглушение звука/тонкомпенсация
- Встроенный эквалайзер (Классика / Рок / Поп)
- Полнофункциональный карточный пульт ДУ
- 2 -канальный линейный выход RCA
- Выходная мощность 4 х 50 Вт
- Аудио вход на передней панели
- Разъем ISO типа";text;mystery-mar-979uc-avtomobilnyy-mp3-wma-resiver;500;;;/upload/iblock/cf4/cf4e53482b3c31991db002d0155d402b.png;;Mystery;;Автозвук;Магнитолы;;
